year,longitude,latitude,months,avg temp
2011,-13.05,-82.7666666,10,-41.35
2011,-34.6166666,-77.8666666,11,-7.77
2011,-59.15,-75.8666666,12,-8.14
2011,-60.1666666,-72.2,8,-23.78
2011,39.7,-77.3166666,10,-55.0
2011,89.6666666,-89.0,12,-24.78
2011,89.6666666,-89.0,11,-32.69
2011,89.6666666,-89.0,10,-47.29
2011,106.8666666,-78.45,1,-30.68
2011,106.8666666,-78.45,2,-42.18
2011,106.8666666,-78.45,3,-57.87
2011,106.8666666,-78.45,4,-61.37
2011,106.8666666,-78.45,6,-68.72
2011,106.8666666,-78.45,7,-61.69
2011,106.8666666,-78.45,8,-60.96
2011,106.8666666,-78.45,9,-63.93
2011,106.8666666,-78.45,5,-67.89
2011,106.8666666,-78.45,11,-40.56
2011,89.6666666,-89.0,5,-61.81
2011,89.6666666,-89.0,6,-61.08
2011,89.6666666,-89.0,7,-57.77
2011,106.8666666,-78.45,12,-30.69
2011,89.6666666,-89.0,2,-36.03
2011,89.6666666,-89.0,3,-54.83
2011,106.8666666,-78.45,10,-55.15
2011,89.6666666,-89.0,4,-59.41
2011,89.6666666,-89.0,9,-59.13
2011,89.6666666,-89.0,8,-55.54
2012,77.37,-80.37,4,-62.53
2012,77.37,-80.37,3,-57.66
2012,77.37,-80.37,2,-46.41
2012,77.37,-80.37,1,-34.25
2012,77.37,-80.37,11,-40.8
2012,89.6666666,-89.0,1,-26.74
2012,89.6666666,-89.0,2,-38.89
2012,89.6666666,-89.0,3,-51.75
2012,89.6666666,-89.0,4,-59.35
2012,89.6666666,-89.0,5,-59.37
2012,89.6666666,-89.0,6,-58.31
2012,89.6666666,-89.0,7,-61.03
2012,89.6666666,-89.0,8,-61.78
2012,77.37,-80.37,5,-64.66
2012,77.37,-80.37,6,-68.73
2012,39.7,-77.3166666,11,-38.7
2012,77.37,-80.37,8,-67.99
2012,77.37,-80.37,10,-51.01
2012,77.37,-80.37,9,-66.56
2012,39.7,-77.3166666,1,-32.45
2012,39.7,-77.3166666,2,-41.44
2012,39.7,-77.3166666,3,-54.96
2012,39.7,-77.3166666,4,-62.19
2012,39.7,-77.3166666,5,-63.92
2012,39.7,-77.3166666,6,-65.16
2012,39.7,-77.3166666,7,-70.11
2012,39.7,-77.3166666,8,-62.2
2012,89.6666666,-89.0,9,-60.42
2012,39.7,-77.3166666,9,-65.03
2012,39.7,-77.3166666,10,-51.41
2012,77.37,-80.37,12,-30.69
2012,39.7,-77.3166666,12,-30.56
2012,77.37,-80.37,7,-68.23
2012,89.6666666,-89.0,10,-49.24
2012,106.8666666,-78.45,2,-46.68
2012,123.3666666,-75.1166666,1,-26.69
2012,43.05,-74.0166666,11,-33.3
2012,43.05,-74.0166666,12,-26.39
2012,77.02,-76.42,10,-48.18
2012,77.02,-76.42,9,-50.13
2012,77.02,-76.42,8,-50.77
2012,77.02,-76.42,7,-49.23
2012,77.02,-76.42,6,-49.13
2012,77.02,-76.42,5,-45.23
